BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Avenues - Headquarters,Condo for sale,695000,2,1.0,959.0,122 E 102nd St Apt 2B,"New York, NY 10029","122 E 102nd St Apt 2BNew York, NY 10029",New York,New York County,New York,Manhattan,122,"122 E 102nd St #2b, New York, NY 10029, USA",40.7897507,-73.9487257
Brokered by Weichert Properties,Co-op for sale,325000,1,1.0,775.0,145 72nd St Apt D14,"Brooklyn, NY 11209","145 72nd St Apt D14Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,145,"145 72nd St Apt D14, Brooklyn, NY 11209, USA",40.6347771,-74.0316533
"Brokered by Nest Seekers International, Westside",Condo for sale,15500000,5,6.0,4134.0,1965 Broadway Apt 28E,"New York, NY 10023","1965 Broadway Apt 28ENew York, NY 10023",New York,New York County,New York,Manhattan,1965,"1965 Broadway #28e, New York, NY 10023, USA",40.7744463,-73.9825007
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1995000,2,2.0,1700.0,10 W 66th St Apt 30D,"New York, NY 10023","10 W 66th St Apt 30DNew York, NY 10023",New York,New York County,New York,Manhattan,10,"10 W 66th St #30d, New York, NY 10023, USA",40.7724058,-73.9797157
Brokered by Winzone Realty Inc,Condo for sale,655000,3,2.0,2184.207862,132-37 Pople Ave Unit 3A,"Flushing, NY 11355","132-37 Pople Ave Unit 3AFlushing, NY 11355",New York,Queens County,Queens,Flushing,132-37,"132-37 Pople Ave #3a, Flushing, NY 11355, USA",40.7536461,-73.8313843
Brokered by Corcoran Brooklyn Heights,Condo for sale,759000,2,2.0,1230.0,2025 Ocean Ave # 6A,"Brooklyn, NY 11230","2025 Ocean Ave # 6ABrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,2025,"2025 Ocean Ave #6a, Brooklyn, NY 11230, USA",40.612478,-73.953507
Brokered by Brown Harris Stevens,Condo for sale,3250000,2,2.0,1509.0,210 Lafayette St Ph 6G,"Manhattan, NY 10012","210 Lafayette St Ph 6GManhattan, NY 10012",New York,New York County,New York,Manhattan,210,"210 Lafayette St APT 6D, New York, NY 10012, USA",40.7217442,-73.998107
Brokered by Hauseit LLC - Hauseit LLC,Co-op for sale,750000,1,1.0,750.0,170 W 81st St Apt 5B,"New York, NY 10024","170 W 81st St Apt 5BNew York, NY 10024",New York,New York County,New York,Manhattan,170,"170 W 81st St #5b, New York, NY 10024, USA",40.7840294,-73.9767127
Brokered by Tru International Realty Corp,Condo for sale,658000,1,1.0,2184.207862,44-15 College Point Blvd Unit 3A,"Flushing, NY 11355","44-15 College Point Blvd Unit 3AFlushing, NY 11355",New York,Queens County,Queens,Flushing,44-15,"44-15 College Point Blvd #3a, Flushing, NY 11355, USA",40.7533335,-73.8324518
Brokered by Laffey Real Estate,Co-op for sale,395000,2,1.0,2184.207862,102-30 66th Rd Unit 20B,"Forest Hills, NY 11375","102-30 66th Rd Unit 20BForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,102-30,"102-30 66th Rd #20b, Forest Hills, NY 11375, USA",40.7284716,-73.8505211
Brokered by COMPASS,Co-op for sale,3950000,3,2.0,2184.207862,180 Riverside Dr Apt 6F,"Manhattan, NY 10024","180 Riverside Dr Apt 6FManhattan, NY 10024",New York,New York County,New York,Manhattan,180,"180 Riverside Dr #6b, New York, NY 10024, USA",40.7920875,-73.9773027
Brokered by Serhant,Condo for sale,4395000,5,5.0,3498.0,401 E 60th St Apt 4B,"New York, NY 10022","401 E 60th St Apt 4BNew York, NY 10022",New York,New York County,New York,Manhattan,401,"401 E 60th St #4b, New York, NY 10022, USA",40.7603031,-73.9610497
Brokered by Douglas Elliman - 140 Franklin,Co-op for sale,285000,1,1.0,2184.207862,5800 Arlington Ave Apt 20D,"Bronx, NY 10471","5800 Arlington Ave Apt 20DBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5800,"5800 Arlington Ave Apt 20n, Bronx, NY 10471, USA",40.9073699,-73.9065578
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,11250000,5,6.0,4357.0,995 Fifth Ave Unit 5S,"New York, NY 10028","995 Fifth Ave Unit 5SNew York, NY 10028",New York,New York County,New York,Manhattan,995,"995 5th Ave #5s, New York, NY 10028, USA",40.778004,-73.962547
Brokered by East Coast REALTORS Inc,Co-op for sale,458000,2,2.0,2184.207862,142-15 Franklin Ave Unit 5L,"Flushing, NY 11355","142-15 Franklin Ave Unit 5LFlushing, NY 11355",New York,Queens County,Queens,Flushing,142-15,"142-15 Franklin Ave #5b, Flushing, NY 11355, USA",40.7566557,-73.8232967
Brokered by Voro Llc,Co-op for sale,438000,2,1.0,2184.207862,83-30 Vietor Ave Unit 721,"Elmhurst, NY 11373","83-30 Vietor Ave Unit 721Elmhurst, NY 11373",New York,Queens County,Queens,Flushing,8330,"8330 Vietor Ave Apartment 721, Flushing, NY 11373, USA",40.743059,-73.880983
Brokered by Douglas Elliman - 140 Franklin,Condo for sale,7500000,4,4.0,2811.0,30 Park Pl Apt 59A,"New York, NY 10007","30 Park Pl Apt 59ANew York, NY 10007",New York,New York County,New York,Manhattan,30,"30 Park Pl #59D, New York, NY 10007, USA",40.7127825,-74.0090376
Brokered by Winzone Realty Inc,Co-op for sale,289000,1,1.0,2184.207862,21-37 33rd St Unit 1E,"Astoria, NY 11105","21-37 33rd St Unit 1EAstoria, NY 11105",New York,Queens County,Queens,Astoria,21-37,"21-37 33rd St #1e, Astoria, NY 11105, USA",40.776279,-73.9082925
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,635000,3,1.0,500.0,63 E 9th St Apt 5E,"New York, NY 10003","63 E 9th St Apt 5ENew York, NY 10003",New York,New York County,New York,Manhattan,63,"63 E 9th St #5e, New York, NY 10003, USA",40.7314129,-73.9921518
Brokered by Real Estate Top Sales Llc,Condo for sale,580000,2,1.0,667.0,224 22nd St Apt 4D,"Brooklyn, NY 11232","224 22nd St Apt 4DBrooklyn, NY 11232",New York,Kings County,Brooklyn,Sunset Park,224,"224 22nd St #4d, Brooklyn, NY 11232, USA",40.6609319,-73.9945957
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Condo for sale,8575000,2,2.0,1830.0,25 Columbus Cir # 57B,"New York, NY 10019","25 Columbus Cir # 57BNew York, NY 10019",New York,New York County,New York,Manhattan,25,"25 Columbus Cir #57, New York, NY 10019, USA",40.7680474,-73.9835169
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,2500000,3,4.0,2184.207862,333 E 57th St Apt 12A,"Manhattan, NY 10022","333 E 57th St Apt 12AManhattan, NY 10022",New York,New York County,New York,Manhattan,333,"333 E 57th St # 12A, New York, NY 10022, USA",40.75896,-73.9637319
"Brokered by Nest Seekers International, Tribeca",Co-op for sale,2595000,3,4.0,2184.207862,39 Gramercy Park N Apt 3C,"New York, NY 10010","39 Gramercy Park N Apt 3CNew York, NY 10010",New York,New York County,New York,Manhattan,39,"39 Gramercy Park N #3c, New York, NY 10010, USA",40.737769,-73.9843803
Brokered by Corcoran Park Avenue South,Condo for sale,1200000,3,1.0,500.0,299 W 12th St Apt 3B,"New York, NY 10014","299 W 12th St Apt 3BNew York, NY 10014",New York,New York County,New York,Manhattan,299,"299 W 12th St #3b, New York, NY 10014, USA",40.7377431,-74.0052925
Brokered by Peter Ashe Real Estate- Peter Ashe Real Estate,Co-op for sale,8250000,2,3.0,3000.0,128 Central Park S Unit 10A,"New York, NY 10019","128 Central Park S Unit 10ANew York, NY 10019",New York,New York County,New York,Manhattan,128,"128 Central Park S #10a, New York, NY 10019, USA",40.7660187,-73.9775473
Brokered by Keller Williams NYC,Condo for sale,375000,1,1.0,387.0,662 Fourth Ave Unit 1R,"Brooklyn, NY 11232","662 Fourth Ave Unit 1RBrooklyn, NY 11232",New York,Kings County,Brooklyn,Sunset Park,662,"662 4th Ave #1r, Brooklyn, NY 11232, USA",40.6637079,-73.9949633
Brokered by Exp Realty,Condo for sale,2488000,2,2.0,1483.0,150 Nassau St Apt 2D,"New York, NY 10038","150 Nassau St Apt 2DNew York, NY 10038",New York,New York County,New York,Manhattan,150,"150 Nassau St #2d, New York, NY 10038, USA",40.7114624,-74.0059409
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,625000,1,1.0,2184.207862,64 E 94th St Apt 1G,"New York, NY 10128","64 E 94th St Apt 1GNew York, NY 10128",New York,New York County,New York,Manhattan,64,"64 E 94th St #1g, New York, NY 10128, USA",40.7854218,-73.9544887
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,4500000,2,2.0,2184.207862,870 Fifth Ave Apt 4D,"New York, NY 10065","870 Fifth Ave Apt 4DNew York, NY 10065",New York,New York County,New York,Manhattan,870,"870 5th Ave #4d, New York, NY 10065, USA",40.7699404,-73.9686033
Brokered by Fillmore Real Estate,Condo for sale,935000,1,1.0,713.0,110 Livingston St Apt 11J,"Brooklyn, NY 11201","110 Livingston St Apt 11JBrooklyn, NY 11201",New York,Kings County,Brooklyn,Downtown Brooklyn,110,"110 Livingston St #11j, Brooklyn, NY 11201, USA",40.6909831,-73.9899258
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,375000,1,1.0,2184.207862,144 Beach 121st St Apt 1A,"Rockaway Park, NY 11694","144 Beach 121st St Apt 1ARockaway Park, NY 11694",New York,Queens County,Queens,Rockaway Park,144,"144 Beach 121st St #1a, Rockaway Park, NY 11694, USA",40.5770108,-73.8403983
Brokered by Halvatzis Realty Inc,Co-op for sale,339000,1,1.0,2184.207862,2158 35th St Apt 1C,"Astoria, NY 11105","2158 35th St Apt 1CAstoria, NY 11105",New York,Queens County,Queens,Astoria,21-58,"21-58 35th St #1c, Astoria, NY 11105, USA",40.7755886,-73.9082717
Brokered by Corcoran East Side,Condo for sale,5200000,3,4.0,3400.0,29 W 85th St Apt 3,"New York, NY 10024","29 W 85th St Apt 3New York, NY 10024",New York,New York County,New York,Manhattan,29,"29 W 85th St APT 3, New York, NY 10024, USA",40.7852077,-73.9706676
Brokered by eXp Realty BKNY,Co-op for sale,329000,2,1.0,950.0,2400 E 3rd St Apt 715,"Brooklyn, NY 11223","2400 E 3rd St Apt 715Brooklyn, NY 11223",New York,Kings County,Brooklyn,Gravesend,2400,"2400 E 3rd St Apt 715, Brooklyn, NY 11223, USA",40.5911414,-73.9676771
Brokered by Corcoran East Side,Co-op for sale,2495000,3,3.0,2500.0,530 E 86th St # 7A,"New York, NY 10028","530 E 86th St # 7ANew York, NY 10028",New York,New York County,New York,Manhattan,530,"530 East 86th St #7a, New York, NY 10028, USA",40.7751383,-73.9457867
Brokered by Keller Williams Rlty Landmark,Co-op for sale,595000,2,2.0,1075.0,37-30 83rd St Unit 3J,"Jackson Heights, NY 11372","37-30 83rd St Unit 3JJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,37-30,"37-30 83rd St #3c, Flushing, NY 11372, USA",40.7487647,-73.8834851
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,550000,1,1.0,2184.207862,225 E 74th St Apt 5M,"New York, NY 10021","225 E 74th St Apt 5MNew York, NY 10021",New York,New York County,New York,Manhattan,225,"225 E 74th St #5m, New York, NY 10021, USA",40.7706605,-73.9580748
Brokered by Papp Realty,Co-op for sale,639000,3,1.0,1100.0,5142 30th Ave Apt 4J,"Woodside, NY 11377","5142 30th Ave Apt 4JWoodside, NY 11377",New York,Queens County,Queens,Woodside,51-42,"51-42 30th Ave. #4c, Woodside, NY 11377, USA",40.7586944,-73.9049161
Brokered by COMPASS,Co-op for sale,1099500,2,1.0,2184.207862,129 Barrow St Apt 2A,"Manhattan, NY 10014","129 Barrow St Apt 2AManhattan, NY 10014",New York,New York County,New York,Manhattan,129,"129 Barrow St #2a, New York, NY 10014, USA",40.731826,-74.0091497
Brokered by Brown Harris Stevens,Co-op for sale,2495000,2,2.0,2184.207862,45 Fifth Ave Unit 2AB,"Manhattan, NY 10003","45 Fifth Ave Unit 2ABManhattan, NY 10003",New York,New York County,New York,Manhattan,45,"45 5th Ave #2a, New York, NY 10003, USA",40.734217,-73.9946151
Brokered by Winzone Realty Inc,Condo for sale,720000,2,1.0,970.0,61-09 39 Ave Unit M6,"Woodside, NY 11377","61-09 39 Ave Unit M6Woodside, NY 11377",New York,Queens County,Queens,Woodside,61-09,"61-09 39th Ave m6, Woodside, NY 11377, USA",40.7472374,-73.9021112
Brokered by Corcoran East Side,Condo for sale,4780000,2,2.0,1882.0,16 W 40th St Apt 25B,"New York, NY 10018","16 W 40th St Apt 25BNew York, NY 10018",New York,New York County,New York,Manhattan,16,"16 W 40th St #25b, New York, NY 10018, USA",40.752444,-73.982986
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,760000,1,1.0,700.0,404 E 66th St Apt 4N,"New York, NY 10065","404 E 66th St Apt 4NNew York, NY 10065",New York,New York County,New York,Manhattan,404,"404 E 66th St #4n, New York, NY 10065, USA",40.7636004,-73.9583523
Brokered by Deutsch Realty,Condo for sale,2350000,2,2.0,1628.0,207 E 57th St Apt 16B,"Manhattan, NY 10022","207 E 57th St Apt 16BManhattan, NY 10022",New York,New York County,New York,Manhattan,207,"207 E 57th St #16b, New York, NY 10022, USA",40.7602847,-73.9668148
Brokered by EXIT REALTY PRIME,Co-op for sale,339999,1,1.0,825.0,78-06 46th Ave Unit 4G,"Elmhurst, NY 11373","78-06 46th Ave Unit 4GElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,78-06,"78-06 46th Ave #4b, Elmhurst, NY 11373, USA",40.7402133,-73.8868828
Brokered by Corcoran Westside Columbus,Co-op for sale,220000,1,1.0,900.0,3000 Valentine Ave Apt 5F,"Bronx, NY 10458","3000 Valentine Ave Apt 5FBronx, NY 10458",New York,Bronx County,The Bronx,West Bronx,3000,"3000 Valentine Ave #5f, Bronx, NY 10458, USA",40.8724137,-73.8852231
Brokered by E Realty International Corp,Condo for sale,499000,1,1.0,750.0,63-14 Queens Blvd Unit 5J,"Woodside, NY 11377","63-14 Queens Blvd Unit 5JWoodside, NY 11377",New York,Queens County,Queens,Woodside,63-14,"63-14 Queens Blvd #5c, Woodside, NY 11377, USA",40.7409264,-73.9020731
Brokered by Corcoran SoHo,Co-op for sale,445000,3,1.0,550.0,230 E 79th St Apt 19C,"New York, NY 10075","230 E 79th St Apt 19CNew York, NY 10075",New York,New York County,New York,Manhattan,230,"230 E 79th St #19c, New York, NY 10075, USA",40.7735465,-73.9561566
Brokered by Daniel Gale Sotheby's International Realty,Co-op for sale,299000,1,1.0,700.0,32-20 91st St Unit 310,"East Elmhurst, NY 11369","32-20 91st St Unit 310East Elmhurst, NY 11369",New York,Queens County,Queens,East Elmhurst,3220,"3220 91st St Apt 310, East Elmhurst, NY 11369, USA",40.7585599,-73.87738
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,4075000,3,3.0,2150.0,240 Riverside Blvd Apt 19B,"New York, NY 10069","240 Riverside Blvd Apt 19BNew York, NY 10069",New York,New York County,New York,Manhattan,240,"240 Riverside Blvd #19b, New York, NY 10023, USA",40.7804721,-73.9871434
Brokered by E Realty International Corp,Condo for sale,580000,2,2.0,950.0,130-14 60th Ave Unit 2C,"Flushing, NY 11355","130-14 60th Ave Unit 2CFlushing, NY 11355",New York,Queens County,Queens,Flushing,130-14,"130-14 60th Ave #2c, Flushing, NY 11355, USA",40.7440024,-73.8353772
"Brokered by Foxworth Realty, Inc.",Co-op for sale,299900,1,1.0,2184.207862,3017 Riverdale Ave Apt 2J,"Bronx, NY 10463","3017 Riverdale Ave Apt 2JBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,3017,"3017 Riverdale Ave #2j, Bronx, NY 10463, USA",40.880985,-73.9102329
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,995000,2,2.0,1015.0,2110 Frederick Douglass Blvd Apt 8D,"New York, NY 10026","2110 Frederick Douglass Blvd Apt 8DNew York, NY 10026",New York,New York County,New York,Manhattan,2110,"2110 Frederick Douglass Blvd #8d, New York, NY 10026, USA",40.8030984,-73.9559736
Brokered by Byson Real Estate Company - Byson Real Estate Company,Condo for sale,1525000,2,2.0,1329.0,5-30 47th Ave Unit 1B,"Queens, NY 11101","5-30 47th Ave Unit 1BQueens, NY 11101",New York,Queens County,Queens,Long Island City,30-May,"5-30 47th Ave #1b, Long Island City, NY 11101, USA",40.745483,-73.954465
Brokered by Astor Brokerage Ltd,Co-op for sale,222888,2,1.0,2184.207862,144-60 Gravett Rd Unit 3C,"Flushing, NY 11367","144-60 Gravett Rd Unit 3CFlushing, NY 11367",New York,Queens County,Queens,Flushing,144-60,"144-60 Gravett Rd #3c, Flushing, NY 11367, USA",40.7352139,-73.8226982
Brokered by Brown Harris Stevens,Co-op for sale,1995000,3,3.0,1800.0,418 E 59th St Apt 31B,"Manhattan, NY 10022","418 E 59th St Apt 31BManhattan, NY 10022",New York,New York County,New York,Manhattan,418,"418 E 59th St #31b, New York, NY 10022, USA",40.7590132,-73.9612618
Brokered by Ycl Real Estate Consulting,Co-op for sale,217000,1,1.0,700.0,123-25 82 Ave Unit 5R,"Kew Gardens, NY 11415","123-25 82 Ave Unit 5RKew Gardens, NY 11415",New York,Queens County,Queens,Kew Gardens,12325,"12325 82nd Ave #5r, Kew Gardens, NY 11415, USA",40.7126884,-73.8282495
Brokered by Excellent Realty Llc,Condo for sale,468000,1,1.0,500.0,65-38 Austin St Unit 2H,"Rego Park, NY 11374","65-38 Austin St Unit 2HRego Park, NY 11374",New York,Queens County,Queens,Rego Park,65-38,"65-38 Austin St #2b, Rego Park, NY 11374, USA",40.725653,-73.8596142
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,2100000,3,8.0,7984.0,248 New York Ave Apt 8,"Brooklyn, NY 11216","248 New York Ave Apt 8Brooklyn, NY 11216",New York,Kings County,Brooklyn,Crown Heights,248,"248 New York Ave Apartment 8, Brooklyn, NY 11216, USA",40.671868,-73.947826
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,7450000,3,2.0,5500.0,38 W 26th St Ph 12,"New York, NY 10010","38 W 26th St Ph 12New York, NY 10010",New York,New York County,New York,Manhattan,38,"38 W 26th St Apt 12a, New York, NY 10010, USA",40.7439988,-73.9898542
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,450000,1,1.0,1115.0,111-20 73rd Ave Unit 6H,"Forest Hills, NY 11375","111-20 73rd Ave Unit 6HForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,11120,"11120 73rd Ave #6h, Forest Hills, NY 11375, USA",40.7193296,-73.8380044
Brokered by Corcoran West Side,Co-op for sale,995000,1,1.0,2184.207862,230 Central Park W Apt 3K,"New York, NY 10024","230 Central Park W Apt 3KNew York, NY 10024",New York,New York County,New York,Manhattan,230,"230 Central Park W #3k, New York, NY 10024, USA",40.7836703,-73.9709274
Brokered by Keller Williams Realty NYC Grp,Co-op for sale,235000,1,1.0,660.0,3125 Tibbett Ave Apt 8C,"Bronx, NY 10463","3125 Tibbett Ave Apt 8CBronx, NY 10463",New York,Bronx County,The Bronx,Kingsbridge,3125,"3125 Tibbett Ave #8c, Bronx, NY 10463, USA",40.881546,-73.908104
Brokered by Douglas Elliman  -111 Fifth Ave,House for sale,485000,3,1.0,525.0,242 E 25th St Apt 3D,"New York, NY 10010","242 E 25th St Apt 3DNew York, NY 10010",New York,New York County,New York,Manhattan,242,"242 E 25th St #3d, New York, NY 10010, USA",40.7392184,-73.9805521
Brokered by COMPASS,Condo for sale,1588000,2,2.0,1108.0,30 W 61st St Apt 16D,"Manhattan, NY 10023","30 W 61st St Apt 16DManhattan, NY 10023",New York,New York County,New York,Manhattan,30,"30 W 61st St #16d, New York, NY 10023, USA",40.7701201,-73.9833141
Brokered by Corcoran Chelsea/Flatiron,House for sale,2695000,2,2.0,1750.0,12 W 18th St Apt 4E,"New York, NY 10011","12 W 18th St Apt 4ENew York, NY 10011",New York,New York County,New York,Manhattan,12,"12 W 18th St #4e, New York, NY 10011, USA",40.7388719,-73.9929549
Brokered by Douglas Elliman - 3544 Johnson Ave,Condo for sale,585000,2,2.0,988.0,3625 Oxford Ave Apt 2B,"Bronx, NY 10463","3625 Oxford Ave Apt 2BBronx, NY 10463",New York,Bronx County,The Bronx,Riverdale,3625,"3625 Oxford Ave #2b, Bronx, NY 10463, USA",40.8870567,-73.908722
Brokered by COMPASS,Condo for sale,848880,1,1.0,713.0,11 E 36th St Ste 404,"Manhattan, NY 10016","11 E 36th St Ste 404Manhattan, NY 10016",New York,New York County,New York,Manhattan,11,"11 E 36th St STE 404, New York, NY 10016, USA",40.7496366,-73.9825832
Brokered by Avenue & Street Realty Inc,Co-op for sale,268000,1,1.0,750.0,13839 Jewel Ave Apt 3A,"Flushing, NY 11367","13839 Jewel Ave Apt 3AFlushing, NY 11367",New York,Queens County,Queens,Flushing,13839,"13839 Jewel Ave #3a, Flushing, NY 11367, USA",40.7295527,-73.8272075
Brokered by Corcoran Westside Columbus,Condo for sale,3700000,3,3.0,1756.0,1280 Fifth Ave Apt 17B,"New York, NY 10029","1280 Fifth Ave Apt 17BNew York, NY 10029",New York,New York County,New York,Manhattan,1280,"1280 5th Ave #17b, New York, NY 10029, USA",40.7961886,-73.949116
Brokered by PEERLESS PROPERTIES CORP.,Pending,329000,2,2.0,1200.0,1750 E 14th St Apt 6B,"Brooklyn, NY 11229","1750 E 14th St Apt 6BBrooklyn, NY 11229",New York,Kings County,Brooklyn,Homecrest,1750,"1750 E 14th St #6b, Brooklyn, NY 11229, USA",40.6068155,-73.9592184
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,990000,2,2.0,2184.207862,325 E 41st St Apt 601,"New York, NY 10017","325 E 41st St Apt 601New York, NY 10017",New York,New York County,New York,Manhattan,325,"325 E 41st St Apt 601, New York, NY 10017, USA",40.7490288,-73.9719957
Brokered by Keller Williams NYC,Condo for sale,2395000,4,3.0,2155.0,42 Saint Marks Pl Apt 1,"Brooklyn, NY 11217","42 Saint Marks Pl Apt 1Brooklyn, NY 11217",New York,Kings County,Brooklyn,Boerum Hill,42,"42 St Marks Pl APT 1, Brooklyn, NY 11217, USA",40.6820512,-73.9811684
Brokered by Brown Harris Stevens- 3531 Johnson Avenue,Co-op for sale,600000,2,2.0,2184.207862,3333 Henry Hudson Pkwy Apt 20N,"Bronx, NY 10463","3333 Henry Hudson Pkwy Apt 20NBronx, NY 10463",New York,Bronx County,The Bronx,Riverdale,3333,"3333 Henry Hudson Pkwy #20, Bronx, NY 10463, USA",40.8855625,-73.9143965
Brokered by Elegran LLC,Co-op for sale,745000,3,2.0,2184.207862,2500 Johnson Ave Apt 14H,"Bronx, NY 10463","2500 Johnson Ave Apt 14HBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,2500,"2500 Johnson Ave #14h, Bronx, NY 10463, USA",40.876794,-73.9177034
Brokered by Corcoran East Side,Condo for sale,8525000,4,4.0,2863.0,126 E 86th St # 16A,"New York, NY 10028","126 E 86th St # 16ANew York, NY 10028",New York,New York County,New York,Manhattan,126,"126 East 86th St #16a, New York, NY 10028, USA",40.7794854,-73.9561419
Brokered by Nardoni Realty Inc.,Co-op for sale,799000,1,1.0,950.0,201 E 28th St Unit 7K,"New York, NY 10016","201 E 28th St Unit 7KNew York, NY 10016",New York,New York County,New York,Manhattan,201,"201 E 28th St #7k, New York, NY 10016, USA",40.7419819,-73.980516
Brokered by Keller Williams NYC,Co-op for sale,299000,1,1.0,2184.207862,63-89 Saunders St Unit 6K,"Rego Park, NY 11374","63-89 Saunders St Unit 6KRego Park, NY 11374",Queens County,Queens,Flushing,Saunders Street,BA3,"BA3, 63-89 Saunders St #6c, Flushing, NY 11374, USA",40.7291666,-73.8619839
"Brokered by Tom Crimmins Realty, Ltd.",Condo for sale,240000,1,1.0,800.0,1100 Clove Rd Apt 2K,"Staten Island, NY 10301","1100 Clove Rd Apt 2KStaten Island, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,1100,"1100 Clove Rd #2c, Staten Island, NY 10301, USA",40.6189484,-74.1071576
Brokered by Julia B. Fee Sotheby's International Realty,Co-op for sale,165000,1,1.0,750.0,5615 Netherland Ave Apt 4E,"Bronx, NY 10471","5615 Netherland Ave Apt 4EBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5615,"5615 Netherland Ave #4e, Bronx, NY 10471, USA",40.904655,-73.9066105
Brokered by Corcoran West Side,Co-op for sale,765000,1,2.0,1000.0,17 W 54th St Apt 10F,"New York, NY 10019","17 W 54th St Apt 10FNew York, NY 10019",New York,New York County,New York,Manhattan,17,"17 W 54th St #10f, New York, NY 10019, USA",40.7617971,-73.9766275
Brokered by Accord Homes Realty,Condo for sale,309000,2,1.0,862.0,1505 Archer Rd Apt 2D,"Bronx, NY 10462","1505 Archer Rd Apt 2DBronx, NY 10462",New York,Bronx County,The Bronx,Parkchester,1505,"1505 Archer Rd #2d, Bronx, NY 10462, USA",40.8385018,-73.86211
Brokered by COMPASS,Co-op for sale,560000,1,1.0,2184.207862,320 E 42nd St Apt 3012,"Manhattan, NY 10017","320 E 42nd St Apt 3012Manhattan, NY 10017",New York,New York County,New York,Manhattan,320,"320 E 42nd St Apt 3012, New York, NY 10017, USA",40.7494678,-73.9717468
Brokered by Corcoran East Side,Condo for sale,3795000,3,3.0,1981.0,200 E 62nd St Apt 19A,"New York, NY 10065","200 E 62nd St Apt 19ANew York, NY 10065",New York,New York County,New York,Manhattan,200,"200 E 62nd St #19a, New York, NY 10065, USA",40.7630942,-73.9649721
Brokered by Tudor Realty Services Corp. - Tudor Realty Services Corp.,Co-op for sale,269500,2,1.0,2184.207862,2080-2090 Barnes Ave Unit 5B,"Bronx, NY 10462","2080-2090 Barnes Ave Unit 5BBronx, NY 10462",New York,Bronx County,The Bronx,East Bronx,2080,"2080 Barnes Ave #2090, Bronx, NY 10462, USA",40.8531021,-73.8636237
Brokered by Corcoran East Side,Condo for sale,8525000,4,4.0,2863.0,126 E 86th St # 16A,"New York, NY 10028","126 E 86th St # 16ANew York, NY 10028",New York,New York County,New York,Manhattan,126,"126 East 86th St #16a, New York, NY 10028, USA",40.7794854,-73.9561419
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,3275000,3,3.0,2184.207862,8 E 83rd St Units 11 & 12D,"Manhattan, NY 10028","8 E 83rd St Units 11 & 12DManhattan, NY 10028",New York,New York County,New York,Manhattan,8,"8 East 83rd St Tenants Corporation, 8 E 83rd St, New York, NY 10028, USA",40.779101,-73.961095
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,3795000,3,3.0,2184.207862,31 E 72nd St Apt 3B,"New York, NY 10021","31 E 72nd St Apt 3BNew York, NY 10021",New York,New York County,New York,Manhattan,31,"31 E 72nd St #3b, New York, NY 10021, USA",40.7719215,-73.9650839
Brokered by Winzone Realty Inc,Co-op for sale,285000,1,1.0,2184.207862,98-120 Queens Blvd Unit 2H,"Rego Park, NY 11374","98-120 Queens Blvd Unit 2HRego Park, NY 11374",New York,Queens County,Queens,Rego Park,120,"120 Queens Blvd #98, Rego Park, NY 11374, USA",40.726843,-73.85458
Brokered by Spire Group Inc.- Main Office,Condo for sale,780000,3,1.0,2184.207862,550 Vanderbilt Ave Apt 511,"Brooklyn, NY 11238","550 Vanderbilt Ave Apt 511Brooklyn, NY 11238",New York,Kings County,Brooklyn,Prospect Heights,550,"550 Vanderbilt Ave Apartment 511, Brooklyn, NY 11238, USA",40.6807067,-73.96822
